pathway	overlap_size	pathway_size	p-value (raw)	p-value	overlap_features (name)	overlap_features (id)	used_input_mzs
Tyrosine metabolism	16	65	0.14675164662	0.00203643136639	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol$L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$adrenochrome o-semiquinone$salsoline-1-carboxylate$Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione$1,2-dehydrosalsolinol$adrenochrome$Dopamine; 4-(2-Aminoethyl)-1,2-benzenediol; 4-(2-Aminoethyl)benzene-1,2-diol; 3,4-Dihydroxyphenethylamine; 2-(3,4-Dihydroxyphenyl)ethylamine$alpha-N-Phenylacetyl-L-glutamine$O-(4-Hydroxy-3,5-diidophenyl)-3,5-diiodo-L-tyrosine; L-Thyroxine; 3,5,3'5'-Tetraiodo-L-thyronine; Levothyroxin; T4$L-Normetanephrine$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$Phenylacetaldehyde; alpha-Tolualdehyde$Tyramine O-sulfate$	C00025;C00788;C00079;CE5541;CE5627;C00127;CE5629;CE5536;C03758;C04148;C01829;C05589;C00051;C00601;tymsf;CE2172	170.0414;186.0909;167.0886;180.0645;236.0944;614.1602;179.0898;180.0645;155.0888,176.0692,176.069,155.0897;333.103;400.3405;186.0909;310.0853,310.0853,309.0929;205.028;220.0421;167.0886
Urea cycle/amino group metabolism	9	32	0.131945594572	0.00227353711596	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-Adrenaline; (R)-(-)-Adrenaline; (R)-(-)-Epinephrine; (R)-(-)-Epirenamine; (R)-(-)-Adnephrine; 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol$Guanine; 2-Amino-6-hydroxypurine$N-Acetylornithine; N2-Acetyl-L-ornithine$N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid$Hippurate; Hippuric acid; N-Benzoylglycine; Benzoylaminoacetic acid$5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA$5'-Deoxyadenosine$L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid	C00025;C00788;C00242;C00437;C00624;C01586;C00170;C05198;C00049	170.0414;186.0909;220.0421;177.1024;190.07,191.0757;180.0645;320.0817;274.0914;134.0441
N-Glycan Degradation	3	6	0.0853306383129	0.00372302361176	D-Mannose; Mannose; Seminose; Carubinose$N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc$D-Galactose	C00159;C00140;C00124	180.0645;221.0881,260.0516;180.0645
C5-Branched dibasic acid metabolism	2	2	0.035603263421	0.00441172813404	Itaconate; Itaconic acid; Methylenesuccinic acid$Mesaconate; 2-Methylfumarate; Mesaconic acid; Methylfumaric acid	C00490;C01732	131.0331,168.9891;131.0331,168.9891
Vitamin B3 (nicotinate and nicotinamide) metabolism	5	16	0.16853124214	0.00480736200415	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Nicotinate D-ribonucleoside$L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid$5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophosphate; PRPP$Nicotinate D-ribonucleotide; beta-Nicotinate D-ribonucleotide; Nicotinate ribonucleotide; Nicotinic acid ribonucleotide	C00025;C05841;C00049;C00119;C01185	170.0414;256.0808;134.0441;392.9592;336.0461
Drug metabolism - cytochrome P450	6	21	0.190053342657	0.00497203857363	2-Hydroxyfelbamate$5-Phenyl-1,3-oxazinane-2,4-dione$p-Hydroxyfelbamate$Felbamate$Carbamazepine$N,N-Didesmethyltamoxifen	C16582;C16596;C16584;C07501;C06868;C16548	277.0784,339.0594,277.0812;260.0516;277.0784,339.0594,277.0812;277.0609;236.0944;366.1834
Carnitine shuttle	3	7	0.129086514127	0.00613150941901	L-Palmitoylcarnitine$heptadecanoyl carnitine$tetradecanoyl carnitine	C02990;hpdcacrn;ttdcrn	400.3405;436.3408;372.3093
Pyrimidine metabolism	8	32	0.245207742691	0.00635933177661	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Deoxyribose; 2-Deoxy-D-erythro-pentose; Thyminose; 2-Deoxy-D-ribose$5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophosphate; PRPP$Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP$CMP; Cytidine-5'-monophosphate; Cytidylic acid$Thymidine; Deoxythymidine$dADP; 2'-Deoxyadenosine 5'-diphosphate$L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid	C00025;C01801;C00119;C00074;C00055;C00214;C00206;C00049	170.0414;135.0661;392.9592;168.9891;326.0566,362.0125,326.0566;311.0872;414.0358,414.0358;134.0441
Hexose phosphorylation	5	17	0.204169052148	0.00657856425778	D-Mannose; Mannose; Seminose; Carubinose$cis-beta-D-Glucosyl-2-hydroxycinnamate; beta-D-Glucosyl-2-coumarinate$D-Glucose; Grape sugar; Dextrose$D-Glucosamine 6-phosphate; D-Glucosamine phosphate$D-Hexose$dADP; 2'-Deoxyadenosine 5'-diphosphate$D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose	C00159;C05839;C00031;C00352;C00738;C00206;C00095	180.0645;349.0871;180.0645;260.0516,131.0331;180.0645;414.0358,414.0358;180.0645
Alkaloid biosynthesis II	2	3	0.0934631498046	0.0101281486581	Cocaine; l-Cocain; beta-Cocain$ecgonine methyl ester	C01416;egme	388.1146,372.141;101.0702
Aspartate and asparagine metabolism	10	46	0.366367128642	0.0136035803937	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde$N-Acetylornithine; N2-Acetyl-L-ornithine$Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione$D-Aspartate; D-Aspartic acid$N-Acetyl-beta-D-glucosaminylamine$O-Acetylcarnitine; O-Acetyl-L-carnitine$spermine dialdehyde$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$N-Succinyl-L-glutamate; (2S)-2-(3-Carboxypropanoylamino)pentanedioic acid$L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid	C00025;C05938;C00437;C00127;C00402;C01239;C02571;CE1936;C00051;C05931;C00049	170.0414;170.0414;177.1024;614.1602;134.0441;289.099;204.1216;102.0908;310.0853,310.0853,309.0929;250.0712,250.0712;134.0441
Androgen and estrogen biosynthesis and metabolism	6	25	0.329287391049	0.0147772609016	Testosterone glucuronide; Testosterone 17beta-(beta-D-glucuronide)$2-hydroxyestrone-1-S-glutathione$2-hydroxyestrone-4-S-glutathione$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$4-hydroxyestrone-2-S-glutathione$5alpha-androstane-3alpha,17beta-diol$Androst-4-ene-3,17-dione; Androstenedione; 4-Androstene-3,17-dione	C11134;CE5242;CE5240;C00051;CE5244;CE2209;C00280	244.1171;307.1091;307.1091;310.0853,310.0853,309.0929;307.1091;158.1172;371.1583
Linoleate metabolism	5	20	0.322337015318	0.0164610688447	$$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$$Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione	CE2006;CE2061;C00051;CE6506;C00127	195.0786;253.0847;310.0853,310.0853,309.0929;195.0786;614.1602
Nitrogen metabolism	2	4	0.163968702078	0.0201881189028	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid	C00025;C00049	170.0414;134.0441
Glycosphingolipid biosynthesis - lactoseries	2	4	0.163968702078	0.0201881189028	CMP-N-acetylneuraminate$CMP; Cytidine-5'-monophosphate; Cytidylic acid	C00128;C00055	617.1579;326.0566,362.0125,326.0566
Glutamate metabolism	3	10	0.289104683278	0.0235539256859	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione	C00025;C00051;C00127	170.0414;310.0853,310.0853,309.0929;614.1602
Glutathione Metabolism	3	10	0.289104683278	0.0235539256859	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione	C00025;C00051;C00127	170.0414;310.0853,310.0853,309.0929;614.1602
Methionine and cysteine metabolism	8	38	0.431482143694	0.0242952256618	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate$Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione$5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$Mercaptopyruvate; 3-Mercaptopyruvate$N-Acetylmethionine$Adenosine	C00025;C00302;C00127;C00170;C00051;C00957;C02712;C00212	170.0414;170.0414;614.1602;320.0817;310.0853,310.0853,309.0929;204.9561;214.0508;306.0621
Glycerophospholipid metabolism	7	34	0.47006665099	0.0340818161542	Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane$CDP-ethanolamine$myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I$(R)-glycerol 1-acetate$Galactose$CMP; Cytidine-5'-monophosphate; Cytidylic acid$Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine	C00836;C00570;C00137;CE0520;C01582;C00055;C00319	302.304;447.0666;180.0645;135.0661;180.0645;326.0566,362.0125,326.0566;300.2883
O-Glycan biosynthesis	2	5	0.240319399896	0.0358457409108	CMP-N-acetylneuraminate$CMP; Cytidine-5'-monophosphate; Cytidylic acid	C00128;C00055	617.1579;326.0566,362.0125,326.0566
Heparan sulfate degradation	2	5	0.240319399896	0.0358457409108	N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc$D-Galactose	C00140;C00124	221.0881,260.0516;180.0645
Glycosphingolipid biosynthesis - neolactoseries	2	5	0.240319399896	0.0358457409108	CMP-N-acetylneuraminate$CMP; Cytidine-5'-monophosphate; Cytidylic acid	C00128;C00055	617.1579;326.0566,362.0125,326.0566
Blood Group Biosynthesis	2	5	0.240319399896	0.0358457409108	CMP-N-acetylneuraminate$CMP; Cytidine-5'-monophosphate; Cytidylic acid	C00128;C00055	617.1579;326.0566,362.0125,326.0566
Chondroitin sulfate degradation	2	5	0.240319399896	0.0358457409108	D-Galactose$N-Acetyl-D-galactosamine; N-Acetyl-D-chondrosamine; 2-Acetamido-2-deoxy-D-galactose	C00124;C01132	180.0645;221.0881,260.0516
Keratan sulfate biosynthesis	2	6	0.317813780687	0.0578905004995	CMP-N-acetylneuraminate$CMP; Cytidine-5'-monophosphate; Cytidylic acid	C00128;C00055	617.1579;326.0566,362.0125,326.0566
Xenobiotics metabolism	10	54	0.588051678801	0.0584615465146	1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene$(1S,2R)-Naphthalene 1,2-oxide; (1S,2R)-Naphthalene epoxide$(1R,2S)-Naphthalene 1,2-oxide; (1R,2S)-Naphthalene epoxide$Benzo[a]pyrene-4,5-oxide; Benzo[a]pyrene-4,5-epoxide$Benzo[a]pyrene-7,8-oxide; Benzo[a]pyrene-7,8-epoxide$9-Hydroxybenzo[a]pyrene-4,5-oxide; 9-Hydroxybenzo[a]pyrene-4,5-epoxide$$$4-Nitrophenol; p-Nitrophenol; PNP; Niphen; 4-Hydroxynitrobenzene$Benzo[a]pyrene-9,10-oxide; Benzo[a]pyrene-9,10-epoxide$S-(1,2-Dichlorovinyl)glutathione; DCVG$9-Hydroxybenzo[a]pyrene$Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione$beta-Naphthol; 2-Naphthol$	C14784;C14787;C14786;C14851;C14850;C14854;C14877;C14873;C00870;C14849;C14868;C14556;C00051;C11713;C11714	247.0562;147.0633;147.0633;307.0501;307.0501;285.0889;341.0998;204.9561;142.0312,142.0312;307.0501;470.012;307.0501;310.0853,310.0853,309.0929;147.0633;147.0633
Arginine and Proline Metabolism	5	25	0.526047436677	0.0610675545044	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-4-Hydroxyglutamate semialdehyde$L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid$5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA$Adenine; 6-Aminopurine	C00025;C05938;C00049;C00170;C00147	170.0414;170.0414;134.0441;320.0817;158.044,136.0623
Pentose phosphate pathway	5	26	0.564049364315	0.0760761412186	Deoxyribose; 2-Deoxy-D-erythro-pentose; Thyminose; 2-Deoxy-D-ribose$5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophosphate; PRPP$D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid$beta-D-Glucose$Aminofructose 6-phosphate; Amino-D-fructose 6-phosphate	C01801;C00119;C00257;C00221;C12214	135.0661;392.9592;281.0256;180.0645;260.0516,131.0331
Carbon fixation	2	7	0.393304687312	0.0864902468374	L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid$Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP	C00049;C00074	134.0441;168.9891
Caffeine metabolism	2	7	0.393304687312	0.0864902468374	$1,7-Dimethyluric acid$1,7-Dimethylxanthine; Paraxanthine$	C16360;C16356;C13747;C07480	281.0256;281.0256;180.0645;180.0645
Alanine and Aspartate Metabolism	3	14	0.511207654367	0.0891355681377	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$D-Aspartate; D-Aspartic acid$L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid$N-Acetyl-L-aspartate	C00025;C00402;C00049;C01042	170.0414;134.0441;134.0441;177.0596
Porphyrin metabolism	3	15	0.561350315572	0.114974825426	Biliverdin; Biliverdin IXalpha$2-Amino-3-oxoadipate; 2-Amino-3-oxohexanedioic acid$Heme; Haem; Protoheme; Heme B; Protoheme IX	C00500;C05520;C00032	667.2191;177.0596;309.0929
Biopterin metabolism	2	8	0.464783999865	0.121201103781	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine$L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$2,5-Diaminopyrimidine nucleoside triphosphate	C06148;C00079;C05923	515.0199;167.0886;515.0199
Keratan sulfate degradation	2	8	0.464783999865	0.121201103781	N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc$D-Galactose	C00140;C00124	221.0881,260.0516;180.0645
Butanoate metabolism	4	22	0.62249172859	0.122942089467	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP$3-Butynoate$6-Acetamido-2-oxohexanoate; 2-Oxo-6-acetamidocaproate	C00025;C00068;C06144;C05548	170.0414;494.0435;168.9891;256.0808
Saturated fatty acids beta-oxidation	2	10	0.591558457773	0.204985788525	3-Oxooctanoyl-CoA$L-Palmitoylcarnitine	C05267;C02990	455.1099;400.3405
Vitamin E metabolism	2	10	0.591558457773	0.204985788525	13'-carboxy-gama-tocotrienol$Phenylacetaldehyde; alpha-Tolualdehyde	CE7072;C00601	462.2738;205.028
Phosphatidylinositol phosphate metabolism	3	20	0.76113430375	0.287673097331	myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I$CMP; Cytidine-5'-monophosphate; Cytidylic acid$D-Galactose	C00137;C00055;C00124	180.0645;326.0566,362.0125,326.0566;180.0645
Drug metabolism - other enzymes	2	12	0.694684311674	0.299515381467	5,6-Dihydro-5-fluorouracil; 5-Fluorodihydrouracil$5-Fluorouridine monophosphate	C16630;C16634	134.0441;345.0277,345.0277,343.0359
TCA cycle	2	12	0.694684311674	0.299515381467	Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP$Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP	C00068;C00074	494.0435;168.9891
Beta-Alanine metabolism	2	12	0.694684311674	0.299515381467	L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate$L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid	C00025;C00049	170.0414;134.0441
Galactose metabolism	4	29	0.829542414198	0.341530053543	D-Mannose; Mannose; Seminose; Carubinose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$D-Galactose$beta-D-Glucose$D-Glucose; Grape sugar; Dextrose$Galactan$alpha-D-Glucose$D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose$D-Tagatose; lyxo-Hexulose$N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc	C00159;C02336;C00124;C00221;C00031;C05796;C00267;C00095;C00795;C00140	180.0645;180.0645;180.0645;180.0645;180.0645;371.1583;180.0645;180.0645;180.0645;221.0881,260.0516
